Estimated states
-4.96, -2.53
-4.06, -6.06
-2.95, -5.86
-4.19, -5.60
-4.26, -5.17
-4.08, -5.06
-3.39, -4.70
-3.03, -4.40
-3.69, -4.39
-3.09, -4.07
-2.88, -3.50
-2.22, -5.06
-2.64, -3.95
-2.88, -3.97
-2.88, -3.56
-3.17, -3.64
-3.22, -4.17
-2.79, -4.47
-2.24, -3.95
-2.13, -3.09
-2.00, -3.73
-1.50, -3.56
-2.56, -4.16
-1.59, -4.03
-1.71, -3.93
-1.43, -3.68
-2.53, -3.34
-2.06, -3.89
-1.04, -2.75
-0.45, -3.66
-1.17, -3.94
-1.00, -4.25
-0.89, -3.25
-1.63, -3.08
-0.66, -3.34
-0.85, -2.30
-0.86, -2.63
-0.18, -3.10
-1.37, -2.90
-0.49, -3.84
-0.72, -2.40
-1.10, -2.54
-0.55, -3.39
-0.69, -4.09
-0.15, -2.39
-0.98, -1.28
-1.73, -1.65
-1.39, -2.76
-0.34, -3.23
0.59, -3.44
0.57, -2.38
0.42, -1.12
0.05, -1.20
0.63, -1.42
0.31, -2.39
0.49, -2.50
0.41, -1.69
0.52, -1.84
1.15, -0.83
1.31, -2.09
1.10, -1.54
0.83, -1.51
0.17, -2.53
0.23, -3.13
0.46, -2.15
-0.02, -1.43
1.20, -1.54
2.26, -1.79
1.00, -1.55
0.69, -2.29
1.38, -1.66
1.18, -1.42
0.67, -0.59
1.27, -0.47
1.13, -0.33
2.44, -0.73
1.69, -1.35
0.94, -1.61
1.66, -1.78
1.78, -1.26
2.54, -0.51
2.61, 0.01
2.10, 0.31
2.02, 0.32
2.52, 0.06
2.20, -0.32
2.04, -0.92
3.03, -0.99
2.26, -0.24
2.20, 0.54
1.42, 0.06
2.12, -0.20
2.78, 0.75
2.48, 1.59
2.10, 0.49
2.31, -0.34
2.93, 0.15
2.55, 0.49
3.29, 0.43
3.48, 0.48

Inferred Goals\s4.29, 4.64
3.79, 5.24
3.79, 5.06
3.51, 5.14
3.65, 5.09
3.70, 5.03
3.74, 5.02
3.74, 5.02
3.68, 5.01
3.75, 5.04
3.75, 5.10
3.81, 4.84
3.70, 5.07
3.69, 5.04
3.70, 5.04
3.70, 5.04
3.70, 5.06
3.65, 5.07
3.61, 4.98
3.64, 4.89
3.64, 5.05
3.59, 5.01
3.72, 5.06
3.60, 5.01
3.62, 4.99
3.61, 4.98
3.69, 4.97
3.62, 5.03
3.54, 4.93
3.53, 5.01
3.61, 5.01
3.60, 5.01
3.59, 4.94
3.62, 4.96
3.55, 4.99
3.57, 4.93
3.57, 4.97
3.55, 4.99
3.60, 4.97
3.55, 5.00
3.57, 4.92
3.59, 4.95
3.55, 5.00
3.57, 5.01
3.55, 4.92
3.58, 4.91
3.60, 4.95
3.56, 5.00
3.53, 4.99
3.52, 4.98
3.54, 4.93
3.56, 4.90
3.56, 4.93
3.54, 4.95
3.55, 4.97
3.54, 4.96
3.55, 4.92
3.54, 4.94
3.53, 4.92
3.53, 4.96
3.54, 4.94
3.55, 4.93
3.56, 4.96
3.55, 4.96
3.54, 4.93
3.55, 4.92
3.52, 4.94
3.51, 4.94
3.55, 4.93
3.55, 4.95
3.53, 4.93
3.54, 4.93
3.55, 4.92
3.53, 4.92
3.54, 4.92
3.51, 4.93
3.54, 4.94
3.55, 4.94
3.53, 4.94
3.53, 4.92
3.52, 4.92
3.53, 4.92
3.54, 4.92
3.53, 4.92
3.52, 4.93
3.53, 4.93
3.53, 4.94
3.51, 4.93
3.54, 4.91
3.53, 4.91
3.54, 4.92
3.52, 4.93
3.52, 4.91
3.53, 4.90
3.54, 4.93
3.53, 4.94
3.52, 4.92
3.53, 4.91
3.52, 4.91
3.52, 4.91
